run_id,hm,parameter_name,real,low,high,median
results/run_292_952,False,scout_prob,0.292,0.011819293023168198,0.4899851646794253,0.2834292149814502
results/run_292_952,False,survival_prob,0.952,0.950549791432924,0.9829225917329213,0.9605750324920985
results/run_292_952,True,scout_prob,0.292,0.010035598888863184,0.4846512678095495,0.24818312360061817
results/run_292_952,True,survival_prob,0.952,0.9504400957027086,0.9733530126879978,0.9586095831637289
results/run_454_957,False,scout_prob,0.454,0.010889795900272713,0.49003152212823237,0.27982434174345705
results/run_454_957,False,survival_prob,0.957,0.950549791432924,0.9831771839935342,0.9623506741566206
results/run_454_957,True,scout_prob,0.454,0.012709153733500716,0.48465479396136774,0.2556711994304689
results/run_454_957,True,survival_prob,0.957,0.9504498323510611,0.9738646564878334,0.9590183547908075
results/run_34_983,False,scout_prob,0.034,0.01850381735774631,0.48739658107339157,0.27717702625570034
results/run_34_983,False,survival_prob,0.983,0.9752603386788319,0.9847476596200683,0.9798278181849736
results/run_34_983,True,scout_prob,0.034,0.018237118510143497,0.4812236474710556,0.25939531087168305
results/run_34_983,True,survival_prob,0.983,0.9751450564372593,0.9845533342678541,0.9799148671302801
results/run_239_981,False,scout_prob,0.239,0.04422459877071578,0.4890730190838597,0.2888857924061841
results/run_239_981,False,survival_prob,0.981,0.97530509447236,0.9914009513668849,0.9804860498723691
results/run_239_981,True,scout_prob,0.239,0.0653965833750995,0.4913912649248058,0.294390401989808
results/run_239_981,True,survival_prob,0.981,0.9753116486236675,0.9923161013219578,0.9807296896554456
results/run_412_975,False,scout_prob,0.412,0.013389963789997513,0.48788136109274793,0.30337744790323506
results/run_412_975,False,survival_prob,0.975,0.9655978630114782,0.9845765166658627,0.9765796513505114
results/run_412_975,True,scout_prob,0.412,0.011255283785455147,0.49031191424508436,0.28828364354178837
results/run_412_975,True,survival_prob,0.975,0.9651113787907396,0.9799598470923749,0.9739030809152991
results/run_186_987,False,scout_prob,0.186,0.13260134421854697,0.4886487289214517,0.3082373738905023
results/run_186_987,False,survival_prob,0.987,0.9853025764739848,0.9947529133365034,0.9899786588086054
results/run_186_987,True,scout_prob,0.186,0.13787557661870412,0.48977078459678486,0.30664135925619024
results/run_186_987,True,survival_prob,0.987,0.9852729219709837,0.9947701874059198,0.9898630288604353
results/run_245_959,False,scout_prob,0.245,0.006711889240217504,0.4867207966286457,0.2634822222569807
results/run_245_959,False,survival_prob,0.959,0.9504316145076348,0.9840863508702337,0.961101427399006
results/run_245_959,True,scout_prob,0.245,0.01752796254485422,0.4899498613908583,0.2539870452515675
results/run_245_959,True,survival_prob,0.959,0.9504163903945146,0.973283641027863,0.9581671473126231
results/run_267_987,False,scout_prob,0.267,0.13370719542104514,0.4895402502118868,0.31908733816153617
results/run_267_987,False,survival_prob,0.987,0.9853426017970555,0.9946990487857313,0.9900871563449145
results/run_267_987,True,scout_prob,0.267,0.13285559880365633,0.49205625656343094,0.31550712639305956
results/run_267_987,True,survival_prob,0.987,0.9852472577209331,0.9947205410597111,0.9901238516311521
results/run_230_995,False,scout_prob,0.23,0.13120162241109123,0.4933309641909934,0.31822581727057647
results/run_230_995,False,survival_prob,0.995,0.9852704257018343,0.9947785486739888,0.9902342302458498
results/run_230_995,True,scout_prob,0.23,0.12817558584474084,0.48914281481259225,0.3122784228951799
results/run_230_995,True,survival_prob,0.995,0.9858060520854017,0.9944714617501528,0.990224503626302
results/run_83_993,False,scout_prob,0.083,0.13734776375580438,0.49083814322188335,0.3168589819338753
results/run_83_993,False,survival_prob,0.993,0.9852239547068374,0.9947329003694317,0.9901584314457973
results/run_83_993,True,scout_prob,0.083,0.1254538565611138,0.3645072900766079,0.25324809463393894
results/run_83_993,True,survival_prob,0.993,0.9866556953996384,0.9948422526825605,0.9906725440788362
results/run_208_984,False,scout_prob,0.208,0.05561977842592629,0.4852220600528709,0.3068481976777975
results/run_208_984,False,survival_prob,0.984,0.975218772473196,0.9933246457925199,0.9807672101215972
results/run_208_984,True,scout_prob,0.208,0.0814678050100745,0.48881297341845525,0.2999237309353213
results/run_208_984,True,survival_prob,0.984,0.9762727114144908,0.9934523386455174,0.9813997842755555
results/run_242_962,False,scout_prob,0.242,0.012471152811933704,0.4922707462329621,0.2779201974480082
results/run_242_962,False,survival_prob,0.962,0.9503302656984467,0.9837013251765414,0.9616392729929635
results/run_242_962,True,scout_prob,0.242,0.018724215783376113,0.4892107888327724,0.24818048349999458
results/run_242_962,True,survival_prob,0.962,0.9502019030607867,0.9640288803580186,0.955125165911997
results/run_354_974,False,scout_prob,0.354,0.010178566485513699,0.4935104603123901,0.293500789768857
results/run_354_974,False,survival_prob,0.974,0.9654494450821403,0.9846812276615312,0.9769208405091714
results/run_354_974,True,scout_prob,0.354,0.017336026852850548,0.4892587120454505,0.289647400994531
results/run_354_974,True,survival_prob,0.974,0.9652803622612554,0.9776197004875052,0.9722228218199934
results/run_278_992,False,scout_prob,0.278,0.12667756676788283,0.4920564622108843,0.3082670233809479
results/run_278_992,False,survival_prob,0.992,0.9852189860598871,0.9947953993968126,0.9897377513968669
results/run_278_992,True,scout_prob,0.278,0.12950520611472305,0.49302874352521703,0.3114427893198394
results/run_278_992,True,survival_prob,0.992,0.9852114564971662,0.9947297486300142,0.9897850040252882
results/run_225_978,False,scout_prob,0.225,0.04238530724349387,0.4925032805285266,0.2876925033093862
results/run_225_978,False,survival_prob,0.978,0.9752967886170258,0.9924011713239199,0.9804104373869731
results/run_225_978,True,scout_prob,0.225,0.044707221872069235,0.49123944089267296,0.27337873468914364
