#framerate:	8.00

#Frame 	 Voronoi density(m^(-2))		Voronoi velocity(m/s)
00240	0.023	0.913
00241	0.023	0.923
00242	0.023	0.935
00243	0.023	0.945
00244	0.022	0.955
00245	0.022	0.961
00246	0.022	0.966
00247	0.022	0.974
00248	0.023	0.983
00249	0.023	0.989
00250	0.023	0.992
00251	0.024	0.988
00252	0.024	0.983
00253	0.024	0.977
00254	0.024	0.971
00255	0.024	0.968
00256	0.024	0.975
00257	0.032	0.973
00258	0.032	0.978
00259	0.032	0.977
00260	0.032	0.979
00261	0.032	0.980
00262	0.032	0.985
00263	0.032	0.989
00264	0.032	0.993
00265	0.032	0.990
00266	0.033	0.976
00267	0.033	0.961
00268	0.033	0.942
00269	0.033	0.923
00270	0.033	0.920
00271	0.033	0.919
00272	0.033	0.923
00273	0.033	0.927
00274	0.033	0.935
00275	0.033	0.939
00276	0.033	0.947
00277	0.032	0.958
00278	0.032	0.972
00279	0.033	0.984
00280	0.033	0.990
00281	0.033	0.994
00282	0.033	0.995
00283	0.033	0.989
00284	0.033	0.979
00285	0.033	0.972
00286	0.033	0.966
00287	0.033	0.964
00288	0.033	0.958
00289	0.034	0.953
00290	0.034	0.942
00291	0.034	0.940
00292	0.033	0.942
00293	0.033	0.952
00294	0.033	0.960
00295	0.033	0.969
00296	0.033	0.975
00297	0.033	0.978
00298	0.033	0.985
00299	0.032	0.990
00300	0.032	0.997
00301	0.032	0.999
00302	0.032	1.000
00303	0.031	0.999
00304	0.031	0.998
00305	0.031	0.996
00306	0.030	0.998
00307	0.030	0.997
00308	0.030	0.999
00309	0.030	0.997
00310	0.029	1.000
00311	0.029	0.999
00312	0.029	0.999
00313	0.029	0.998
00314	0.028	1.001
00315	0.028	1.000
00316	0.028	0.998
00317	0.028	1.004
00318	0.028	0.994
00319	0.028	1.003
00320	0.027	0.994
