year,n cattle,n beef,n dairy
2000,1857154,876399,564128
2001,1937352,925198,595273
2002,1941443,938146,586416
2003,1999961,992055,591025
2004,2092307,1049851,625284
2005,2191814,1112109,662228
2006,2264951,1179758,667716
2007,2380104,1253381,708898
2008,2505784,1333758,753816
2009,2593445,1421410,753825
2010,2626739,1454695,753834
2011,2779821,1555810,805345
2012,2947241,1666870,861208
