year,n cattle,n beef,n dairy
2000,1888784,898188,573969
2001,1956163,939539,599997
2002,1949847,945550,587670
2003,1980658,975091,588940
2004,2038094,1005938,615529
2005,2098467,1038448,643392
2006,2132651,1072615,643409
2007,2181467,1108371,656469
2008,2232849,1146027,670195
2009,2272210,1185388,670195
2010,2273391,1186569,670195
2011,2329258,1228005,684626
2012,2386690,1271394,698669
