year,n cattle,n beef,n dairy
2000,1692077,774262,503072
2001,1592038,708691,469723
2002,1486219,648983,424327
2003,1430742,617951,400387
2004,1395160,595995,387120
2005,1370136,580430,377952
2006,1341559,567083,363005
2007,1322262,555473,355566
2008,1299787,543075,345768
2009,1276378,533605,332064
2010,1236104,509028,316645
2011,1220701,500321,310150
2012,1214244,497598,306531
