year,n cattle,n beef,n dairy
2000,1697253,777199,505292
2001,1600480,713911,472905
2002,1499430,656986,429480
2003,1445821,626816,406546
2004,1411876,605675,394102
2005,1388102,591013,385273
2006,1359794,578227,370048
2007,1341040,567171,362613
2008,1320966,556583,353393
2009,1298770,548286,339724
2010,1259083,524602,324003
2011,1245280,517247,317761
2012,1241210,516371,314682
