year,n small,n medium,n large
2000,8461,4166,779
2001,8868,3852,686
2002,9236,3576,594
2003,9471,3352,583
2004,9606,3197,603
2005,9698,3096,612
2006,9778,3017,611
2007,9876,2898,632
2008,9986,2770,650
2009,10088,2660,658
2010,10255,2553,598
2011,10337,2468,601
2012,10403,2382,621
