year,n cattle,n beef,n dairy
2000,1851809,872389,562793
2001,1886975,896987,573361
2002,1881173,902033,562513
2003,1908108,927503,563978
2004,1944674,953803,574244
2005,1982643,980999,585017
2006,2010742,1009101,585014
2007,2050488,1037962,595899
2008,2091770,1068073,607070
2009,2122399,1098681,607091
2010,2123499,1099678,607194
2011,2165469,1130402,618440
2012,2207515,1161769,629119
