year,n small,n medium,n large
2000,7952,4424,1030
2001,7888,4431,1087
2002,7886,4457,1063
2003,7835,4470,1101
2004,7777,4478,1151
2005,7708,4478,1220
2006,7660,4490,1256
2007,7601,4489,1316
2008,7533,4499,1374
2009,7482,4511,1413
2010,7478,4509,1419
2011,7431,4481,1494
2012,7368,4477,1561
