year,n cattle,n beef,n dairy
2000,1803173,847976,539182
2001,1791314,842215,533390
2002,1762841,830567,516750
2003,1760093,833648,511033
2004,1765247,838197,511753
2005,1770049,842315,512590
2006,1768295,846460,506835
2007,1773926,850559,508502
2008,1783542,857370,511413
2009,1781612,861577,505428
2010,1764793,850903,499438
2011,1765604,852448,498854
2012,1770628,857192,499238
