year,n cattle,n beef,n dairy
2000,1802611,847647,538951
2001,1791044,842200,533134
2002,1762461,830540,516402
2003,1759370,833418,510554
2004,1763974,837731,510966
2005,1768845,841909,511806
2006,1766938,845912,506039
2007,1772713,850070,507785
2008,1780958,855971,510235
2009,1778232,859252,504386
2010,1760926,848094,498403
2011,1761418,849585,497554
2012,1766295,854492,497618
