year,n small,n medium,n large
2000,8045,4385,976
2001,7961,4416,1029
2002,7960,4438,1008
2003,7893,4465,1048
2004,7764,4498,1144
2005,7642,4529,1235
2006,7571,4567,1268
2007,7472,4569,1365
2008,7384,4584,1438
2009,7302,4614,1490
2010,7297,4618,1491
2011,7171,4635,1600
2012,7089,4622,1695
