year,n small,n medium,n large
2000,8015,4402,989
2001,7955,4417,1034
2002,7950,4437,1019
2003,7897,4448,1061
2004,7833,4463,1110
2005,7767,4474,1165
2006,7713,4479,1214
2007,7650,4476,1280
2008,7600,4453,1353
2009,7539,4478,1389
2010,7523,4480,1403
2011,7474,4457,1475
2012,7418,4445,1543
