year,n small,n medium,n large
2000,8015,4403,988
2001,7956,4417,1033
2002,7954,4434,1018
2003,7904,4444,1058
2004,7836,4460,1110
2005,7770,4470,1166
2006,7719,4472,1215
2007,7655,4474,1277
2008,7602,4458,1346
2009,7540,4474,1392
2010,7523,4473,1410
2011,7476,4446,1484
2012,7419,4434,1553
