year,n small,n medium,n large
2000,8192,4313,901
2001,8284,4215,907
2002,8405,4137,864
2003,8433,4086,887
2004,8446,4052,908
2005,8456,4014,936
2006,8481,3981,944
2007,8502,3926,978
2008,8512,3882,1012
2009,8553,3829,1024
2010,8617,3779,1010
2011,8645,3743,1018
2012,8679,3679,1048
