year,n cattle,n beef,n dairy
2000,1682873,767265,501013
2001,1578440,698410,466634
2002,1469269,636444,420197
2003,1410978,603742,395156
2004,1374252,580955,381604
2005,1347012,564520,371114
2006,1315377,550277,354047
2007,1294927,537919,346249
2008,1271138,525441,335252
2009,1245936,516060,319698
2010,1190362,483761,296754
2011,1174646,474948,290088
2012,1171285,474704,287099
