year,n small,n medium,n large
2000,8460,4166,780
2001,8865,3856,685
2002,9236,3579,591
2003,9471,3356,579
2004,9607,3196,603
2005,9699,3094,613
2006,9778,3016,612
2007,9872,2899,635
2008,9989,2766,651
2009,10097,2656,653
2010,10265,2545,596
2011,10347,2458,601
2012,10402,2387,617
