year,n small,n medium,n large
2000,8021,4399,986
2001,7967,4414,1025
2002,7969,4429,1008
2003,7930,4442,1034
2004,7874,4460,1072
2005,7821,4470,1115
2006,7778,4478,1150
2007,7727,4483,1196
2008,7686,4462,1258
2009,7640,4479,1287
2010,7630,4485,1291
2011,7590,4469,1347
2012,7550,4469,1387
