year,n small,n medium,n large
2000,8030,4393,983
2001,7857,4460,1089
2002,7843,4476,1087
2003,7726,4505,1175
2004,7570,4528,1308
2005,7434,4532,1440
2006,7318,4550,1538
2007,7165,4559,1682
2008,7008,4568,1830
2009,6908,4565,1933
2010,6887,4561,1958
2011,6743,4506,2157
2012,6608,4448,2350
