year,n cattle,n beef,n dairy
2000,1691626,773850,503040
2001,1591742,708309,469813
2002,1486363,648983,424471
2003,1430215,617648,400170
2004,1394282,595359,386900
2005,1368640,579342,377575
2006,1339310,565585,362299
2007,1320099,553742,355194
2008,1297885,541336,345689
2009,1274636,531679,332337
2010,1234124,507230,316553
2011,1217451,498102,309229
2012,1210488,495424,305058
