year,n cattle,n beef,n dairy
2000,1696791,776789,505246
2001,1599844,713382,472798
2002,1498879,656468,429437
2003,1445724,626834,406409
2004,1411830,605870,393842
2005,1387456,590724,384910
2006,1359967,577906,370534
2007,1340975,566400,363322
2008,1319042,554432,353633
2009,1295095,545001,339352
2010,1255095,520956,323672
2011,1240100,512755,317078
2012,1234035,510179,313716
