year,n cattle,n beef,n dairy
2000,1798272,844919,537350
2001,1785010,838168,531152
2002,1746604,824941,506162
2003,1741841,826761,499691
2004,1744843,829846,499724
2005,1747852,832809,499919
2006,1744065,835795,493284
2007,1747948,838585,494506
2008,1754709,843216,496740
2009,1750912,845288,491025
2010,1733607,833614,485545
2011,1733225,834277,484644
2012,1736523,837910,484407
