year,n cattle,n beef,n dairy
2000,1858705,877483,564595
2001,1931890,921690,593573
2002,1934273,932671,584975
2003,1985174,979547,589000
2004,2065328,1029251,619450
2005,2149688,1081586,651475
2006,2209054,1136849,655578
2007,2302260,1195738,689895
2008,2401514,1258554,726333
2009,2467751,1324761,726363
2010,2488877,1345781,726469
2011,2597946,1416826,764493
2012,2713207,1492313,804267
