year,n small,n medium,n large
2000,8433,4179,794
2001,8808,3891,707
2002,9140,3645,621
2003,9364,3434,608
2004,9477,3301,628
2005,9557,3210,639
2006,9639,3128,639
2007,9732,3013,661
2008,9839,2893,674
2009,9933,2794,679
2010,10063,2698,645
2011,10126,2631,649
2012,10180,2568,658
