year,n small,n medium,n large
2000,8021,4399,986
2001,7965,4417,1024
2002,7967,4431,1008
2003,7927,4440,1039
2004,7871,4458,1077
2005,7820,4468,1118
2006,7783,4469,1154
2007,7730,4477,1199
2008,7688,4463,1255
2009,7639,4481,1286
2010,7629,4488,1289
2011,7591,4469,1346
2012,7541,4470,1395
