year,n small,n medium,n large
2000,8022,4401,983
2001,7965,4415,1026
2002,7969,4430,1007
2003,7926,4439,1041
2004,7864,4455,1087
2005,7804,4468,1134
2006,7758,4475,1173
2007,7695,4483,1228
2008,7646,4467,1293
2009,7585,4492,1329
2010,7574,4498,1334
2011,7526,4478,1402
2012,7470,4470,1466
