year,n small,n medium,n large
2000,8190,4316,900
2001,8279,4220,907
2002,8401,4139,866
2003,8429,4082,895
2004,8441,4041,924
2005,8444,4007,955
2006,8465,3978,963
2007,8488,3917,1001
2008,8499,3863,1044
2009,8548,3793,1065
2010,8619,3733,1054
2011,8664,3669,1073
2012,8703,3594,1109
