year,n cattle,n beef,n dairy
2000,1859255,878442,564186
2001,1885328,895788,572913
2002,1878181,898295,563259
2003,1897267,916151,564489
2004,1925876,935698,573551
2005,1955441,955805,583009
2006,1976200,976686,582887
2007,2007597,998379,592591
2008,2039099,1020490,601982
2009,2062951,1043628,602696
2010,2064897,1044672,603598
2011,2099207,1068766,613814
2012,2134706,1094350,623729
