year,n small,n medium,n large
2000,7952,4424,1030
2001,7809,4452,1145
2002,7803,4487,1116
2003,7732,4515,1159
2004,7622,4522,1262
2005,7506,4537,1363
2006,7429,4571,1406
2007,7316,4609,1481
2008,7224,4613,1569
2009,7142,4641,1623
2010,7138,4645,1623
2011,7051,4639,1716
2012,6956,4636,1814
