year,n small,n medium,n large
2000,8031,4391,984
2001,7853,4447,1106
2002,7838,4472,1096
2003,7701,4517,1188
2004,7521,4552,1333
2005,7363,4542,1501
2006,7238,4559,1609
2007,7053,4561,1792
2008,6876,4542,1988
2009,6743,4553,2110
2010,6716,4544,2146
2011,6525,4459,2422
2012,6338,4381,2687
