year,n cattle,n beef,n dairy
2000,1857181,876362,564192
2001,1937159,925047,595233
2002,1940871,937895,586097
2003,1998773,991474,590420
2004,2090727,1049006,624552
2005,2189691,1110822,661397
2006,2261999,1177611,666916
2007,2375865,1250230,707824
2008,2500162,1329507,752469
2009,2586653,1415988,752479
2010,2618564,1447889,752489
2011,2769899,1547799,803453
2012,2935478,1657597,858728
