year,n cattle,n beef,n dairy
2000,1863867,881662,565578
2001,1889800,898799,574374
2002,1886068,903050,566391
2003,1905784,920558,568599
2004,1934011,939648,577736
2005,1962983,959081,587275
2006,1984419,979148,588644
2007,2014850,999777,598446
2008,2045157,1020488,608042
2009,2066816,1041563,608626
2010,2071539,1045519,609393
2011,2102870,1067112,619131
2012,2134669,1089422,628620
