year,n cattle,n beef,n dairy
2000,1798373,844868,537524
2001,1786686,839336,531697
2002,1749347,827085,506810
2003,1747086,830880,500876
2004,1753407,836328,501873
2005,1759891,841665,503183
2006,1759128,847082,497157
2007,1765994,851973,499287
2008,1776713,859446,502663
2009,1773911,863727,495770
2010,1753307,850308,488778
2011,1754856,852287,488542
2012,1763506,859265,490338
