year,n cattle,n beef,n dairy
2000,1798937,845181,537775
2001,1787524,839787,532084
2002,1750825,827731,507642
2003,1749055,831735,501990
2004,1755731,837400,503125
2005,1762651,843021,504587
2006,1762372,848719,498764
2007,1769719,853944,501041
2008,1780911,861824,504483
2009,1778553,866558,497581
2010,1758549,853740,490588
2011,1760655,856233,490395
2012,1769211,863805,491503
