year,n cattle,n beef,n dairy
2000,1697843,777507,505571
2001,1601183,714217,473292
2002,1500444,657405,430057
2003,1447017,627491,407035
2004,1412719,606139,394463
2005,1387998,590620,385564
2006,1359818,577449,370856
2007,1340728,566071,363415
2008,1319718,554756,354006
2009,1297579,546708,340141
2010,1258761,524045,324243
2011,1244505,516429,317792
2012,1239201,514704,314325
