year,n small,n medium,n large
2000,8428,4188,790
2001,8808,3890,708
2002,9141,3647,618
2003,9357,3446,603
2004,9483,3304,619
2005,9573,3203,630
2006,9645,3128,633
2007,9742,3002,662
2008,9844,2891,671
2009,9930,2808,668
2010,10052,2723,631
2011,10134,2637,635
2012,10190,2575,641
