year,n small,n medium,n large
2000,8445,4176,785
2001,8822,3883,701
2002,9166,3634,606
2003,9384,3429,593
2004,9515,3287,604
2005,9593,3201,612
2006,9669,3126,611
2007,9762,3016,628
2008,9866,2901,639
2009,9960,2815,631
2010,10072,2731,603
2011,10151,2656,599
2012,10205,2587,614
