year,n small,n medium,n large
2000,8014,4404,988
2001,7960,4417,1029
2002,7958,4433,1015
2003,7910,4445,1051
2004,7842,4465,1099
2005,7784,4481,1141
2006,7741,4481,1184
2007,7690,4480,1236
2008,7650,4462,1294
2009,7602,4477,1327
2010,7589,4481,1336
2011,7550,4460,1396
2012,7503,4450,1453
