year,n cattle,n beef,n dairy
2000,1862547,880712,565208
2001,1890575,899366,574582
2002,1886897,904138,566132
2003,1908892,923680,568585
2004,1940388,945133,578628
2005,1973227,967400,589200
2006,1998155,990675,590853
2007,2033662,1015023,602012
2008,2069587,1040082,612878
2009,2096517,1066254,613636
2010,2102978,1071738,614613
2011,2142370,1099458,626285
2012,2183807,1129224,637956
