year,n cattle,n beef,n dairy
2000,1857170,876345,564198
2001,1937165,925007,595286
2002,1941007,937790,586345
2003,1999074,991360,590842
2004,2090884,1048741,624994
2005,2190078,1110721,661905
2006,2262580,1177739,667389
2007,2376771,1250527,708451
2008,2501157,1329885,753106
2009,2587855,1416572,753117
2010,2620042,1448748,753128
2011,2771549,1548778,804155
2012,2937122,1658621,859399
