year,n small,n medium,n large
2000,8029,4392,985
2001,7855,4463,1088
2002,7842,4482,1082
2003,7733,4511,1162
2004,7582,4532,1292
2005,7447,4526,1433
2006,7341,4537,1528
2007,7194,4528,1684
2008,7060,4505,1841
2009,6955,4513,1938
2010,6931,4510,1965
2011,6782,4455,2169
2012,6650,4410,2346
