year,n small,n medium,n large
2000,8016,4400,990
2001,7953,4419,1034
2002,7953,4436,1017
2003,7899,4447,1060
2004,7830,4469,1107
2005,7764,4481,1161
2006,7710,4486,1210
2007,7644,4489,1273
2008,7596,4465,1345
2009,7539,4481,1386
2010,7522,4486,1398
2011,7468,4464,1474
2012,7413,4443,1550
