year,n cattle,n beef,n dairy
2000,1682672,767073,501006
2001,1578094,698077,466624
2002,1468704,635894,420186
2003,1410405,603142,395187
2004,1373607,580232,381686
2005,1346277,563625,371278
2006,1314667,549215,354403
2007,1294051,536647,346649
2008,1270229,523998,335790
2009,1244675,514294,320207
2010,1188308,481391,297076
2011,1172079,472144,290331
2012,1166996,470350,287179
