year,n small,n medium,n large
2000,8041,4387,978
2001,7963,4416,1027
2002,7964,4434,1008
2003,7899,4462,1045
2004,7811,4489,1106
2005,7728,4512,1166
2006,7673,4528,1205
2007,7596,4544,1266
2008,7520,4538,1348
2009,7443,4577,1386
2010,7437,4581,1388
2011,7372,4582,1452
2012,7295,4589,1522
