year,n small,n medium,n large
2000,8042,4386,978
2001,7962,4415,1029
2002,7963,4434,1009
2003,7899,4460,1047
2004,7812,4486,1108
2005,7730,4509,1167
2006,7672,4531,1203
2007,7592,4558,1256
2008,7518,4562,1326
2009,7443,4595,1368
2010,7438,4599,1369
2011,7366,4604,1436
2012,7293,4604,1509
