year,n small,n medium,n large
2000,8015,4403,988
2001,7955,4418,1033
2002,7951,4437,1018
2003,7896,4454,1056
2004,7826,4473,1107
2005,7762,4481,1163
2006,7709,4484,1213
2007,7647,4479,1280
2008,7601,4445,1360
2009,7543,4464,1399
2010,7523,4473,1410
2011,7471,4445,1490
2012,7411,4426,1569
