year,n small,n medium,n large
2000,8022,4400,984
2001,7965,4415,1026
2002,7970,4429,1007
2003,7929,4439,1038
2004,7873,4454,1079
2005,7816,4469,1121
2006,7782,4468,1156
2007,7729,4472,1205
2008,7692,4455,1259
2009,7645,4471,1290
2010,7637,4475,1294
2011,7596,4460,1350
2012,7551,4461,1394
