year,n small,n medium,n large
2000,8028,4393,985
2001,7857,4451,1098
2002,7845,4470,1091
2003,7727,4507,1172
2004,7576,4536,1294
2005,7450,4516,1440
2006,7342,4544,1520
2007,7197,4532,1677
2008,7058,4515,1833
2009,6955,4511,1940
2010,6934,4496,1976
2011,6786,4467,2153
2012,6640,4437,2329
