year,n small,n medium,n large
2000,8182,4318,906
2001,8268,4227,911
2002,8370,4153,883
2003,8395,4102,909
2004,8414,4048,944
2005,8416,4013,977
2006,8435,3998,973
2007,8463,3930,1013
2008,8480,3871,1055
2009,8525,3816,1065
2010,8586,3766,1054
2011,8622,3716,1068
2012,8650,3661,1095
