year,n small,n medium,n large
2000,8186,4318,902
2001,8275,4224,907
2002,8397,4143,866
2003,8423,4088,895
2004,8437,4042,927
2005,8443,4001,962
2006,8463,3978,965
2007,8486,3914,1006
2008,8494,3859,1053
2009,8547,3794,1065
2010,8616,3736,1054
2011,8655,3674,1077
2012,8689,3601,1116
