year,n cattle,n beef,n dairy
2000,1858536,877437,564472
2001,1931431,921519,593285
2002,1933521,932279,584615
2003,1980926,975860,588439
2004,2060504,1025165,618712
2005,2144634,1077321,650686
2006,2203639,1132226,654786
2007,2295777,1190312,688838
2008,2393922,1252223,725072
2009,2459399,1317675,725097
2010,2479831,1337996,725208
2011,2587696,1408100,762969
2012,2701336,1482026,802683
