year,n cattle,n beef,n dairy
2000,1858942,877693,564622
2001,1932227,921920,593680
2002,1934709,932985,585097
2003,1986170,980371,589172
2004,2067135,1030559,619949
2005,2153136,1083785,652724
2006,2214222,1140369,657226
2007,2309198,1200093,692478
2008,2409964,1263379,729718
2009,2477063,1330442,729754
2010,2498731,1351941,729923
2011,2611011,1424762,769118
2012,2729990,1502382,810211
