year,n small,n medium,n large
2000,8459,4167,780
2001,8865,3857,684
2002,9234,3578,594
2003,9466,3358,582
2004,9605,3195,606
2005,9688,3099,619
2006,9771,3016,619
2007,9870,2896,640
2008,9979,2774,653
2009,10090,2656,660
2010,10249,2551,606
2011,10338,2458,610
2012,10397,2376,633
