year,n small,n medium,n large
2000,8474,4160,772
2001,8887,3843,676
2002,9262,3568,576
2003,9499,3343,564
2004,9640,3188,578
2005,9734,3085,587
2006,9815,3004,587
2007,9911,2891,604
2008,10030,2762,614
2009,10131,2662,613
2010,10288,2559,559
2011,10372,2476,558
2012,10433,2391,582
