year,n cattle,n beef,n dairy
2000,1888784,898188,573969
2001,1918595,918214,583754
2002,1913618,923011,573980
2003,1935606,943543,575436
2004,1966705,964857,585221
2005,1999358,987213,595518
2006,2022455,1010154,595674
2007,2056500,1033897,605976
2008,2090270,1057605,616038
2009,2116184,1082678,616879
2010,2118796,1084239,617930
2011,2155627,1110212,628788
2012,2193375,1137406,639342
