year,n small,n medium,n large
2000,8423,4189,794
2001,8804,3894,708
2002,9135,3656,615
2003,9348,3455,603
2004,9474,3311,621
2005,9563,3210,633
2006,9639,3134,633
2007,9736,3015,655
2008,9848,2891,667
2009,9952,2789,665
2010,10088,2692,626
2011,10154,2626,626
2012,10202,2567,637
