year,n cattle,n beef,n dairy
2000,1863887,881778,565482
2001,1889981,899110,574244
2002,1886366,903415,566324
2003,1906318,921075,568616
2004,1934552,940114,577811
2005,1963442,959546,587269
2006,1984739,979457,588655
2007,2014639,999803,598209
2008,2044481,1020425,607429
2009,2066086,1041418,608041
2010,2070794,1045254,608913
2011,2101192,1066276,618289
2012,2132037,1088015,627395
