year,n small,n medium,n large
2000,8181,4316,909
2001,8262,4229,915
2002,8369,4151,886
2003,8394,4101,911
2004,8413,4052,941
2005,8413,4019,974
2006,8434,4003,969
2007,8462,3943,1001
2008,8483,3887,1036
2009,8518,3835,1053
2010,8580,3785,1041
2011,8623,3728,1055
2012,8660,3653,1093
