year,n cattle,n beef,n dairy
2000,1696777,776974,505043
2001,1599762,713641,472455
2002,1498306,656516,428827
2003,1444212,626321,405431
2004,1410358,605200,393051
2005,1386278,590010,384457
2006,1357925,576739,369683
2007,1339062,565304,362522
2008,1318495,554307,353239
2009,1295228,544995,339523
2010,1255576,521175,323967
2011,1240846,512997,317622
2012,1234966,510766,314084
