year,n small,n medium,n large
2000,8460,4165,781
2001,8868,3852,686
2002,9234,3578,594
2003,9466,3359,581
2004,9601,3200,605
2005,9691,3100,615
2006,9773,3018,615
2007,9872,2896,638
2008,9977,2779,650
2009,10089,2660,657
2010,10254,2555,597
2011,10339,2463,604
2012,10381,2399,626
