year,n small,n medium,n large
2000,8034,4389,983
2001,7847,4459,1100
2002,7832,4483,1091
2003,7693,4523,1190
2004,7511,4554,1341
2005,7353,4549,1504
2006,7214,4565,1627
2007,7037,4566,1803
2008,6856,4537,2013
2009,6726,4535,2145
2010,6694,4525,2187
2011,6511,4468,2427
2012,6344,4380,2682
