year,n small,n medium,n large
2000,8015,4401,990
2001,7957,4419,1030
2002,7956,4437,1013
2003,7907,4448,1051
2004,7843,4467,1096
2005,7785,4476,1145
2006,7741,4481,1184
2007,7688,4480,1238
2008,7645,4456,1305
2009,7600,4468,1338
2010,7584,4474,1348
2011,7548,4454,1404
2012,7503,4442,1461
