year,n cattle,n beef,n dairy
2000,1851736,872396,562713
2001,1887025,897021,573377
2002,1881046,902090,562329
2003,1907764,927330,563807
2004,1944356,953388,574341
2005,1982142,980184,585331
2006,2009918,1007942,585349
2007,2049505,1036365,596513
2008,2090546,1065927,607992
2009,2120672,1096001,608044
2010,2121951,1097146,608178
2011,2163427,1127133,619667
2012,2204907,1157777,630503
