year,n cattle,n beef,n dairy
2000,1678051,764354,499112
2001,1570968,693470,464120
2002,1457268,628873,415792
2003,1397015,595106,389861
2004,1358480,571234,375592
2005,1329398,553679,364387
2006,1295984,538454,346521
2007,1274719,525721,338274
2008,1249348,512032,326908
2009,1224259,502007,312109
2010,1168067,468909,289339
2011,1151830,459707,282537
2012,1145999,457535,279011
